Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Lanes_or_Medians,Types_of_Junction,Road_surface_type,Light_conditions,Weather_conditions,Type_of_collision,Vehicle_movement,Pedestrian_movement,Cause_of_accident,Accident_severity,Time,Day_of_week
31-50,Male,Junior high school,Employee,1-2yr,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Reversing,Not a Pedestrian,No distancing,2,18:20:00,Thursday
18-30,Male,Junior high school,Employee,5-10yr,other,No junction,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Unknown,Not a Pedestrian,No priority to vehicle,2,18:20:00,Thursday
Over 51,Male,Illiterate,Employee,unknown,other,No junction,Asphalt roads,Daylight,Unknown,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Overtaking,2,17:00:00,Saturday
Unknown,Male,Junior high school,Employee,5-10yr,Double carriageway (median),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Reversing,"Walking along in carriageway, facing traffic",No priority to pedestrian,11:00:00,Sunday
18-30,Male,Junior high school,Employee,1-2yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,No distancing,2,11:00:00,Sunday
18-30,Male,Junior high school,Employee,2-5yr,other,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2,11:00:00,Sunday
18-30,Male,Junior high school,Employee,Above 10yr,other,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,2,11:00:00,Sunday
18-30,Male,Junior high school,Owner,5-10yr,Two-way (divided with solid lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2,17:21:00,Thursday
31-50,Male,High school,Employee,1-2yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,Overtaking,2,17:21:00,Thursday
Over 51,Male,Junior high school,Employee,Above 10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Other,2,17:21:00,Thursday
18-30,Male,Junior high school,Employee,1-2yr,other,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving to the left,2,17:21:00,Thursday
Unknown,Female,Junior high school,Employee,2-5yr,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving at high speed,2,22:15:00,Friday
Unknown,Male,Junior high school,Employee,Above 10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Unknown,2,8:45:00,Tuesday
31-50,Male,Junior high school,Employee,2-5yr,Double carriageway (median),Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,Changing lane to the right,2,9:43:00,Thursday
Unknown,Male,Elementary school,Employee,5-10yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown,Not a Pedestrian,No distancing,2,9:43:00,Thursday
Unknown,Male,Unknown,Unknown,Unknown,other,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Other,2,9:43:00,Thursday
Unknown,Female,Elementary school,Employee,1-2yr,other,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Turnover,Not a Pedestrian,No priority to vehicle,2,9:00:00,Friday
31-50,Male,Elementary school,Employee,5-10yr,other,Other,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Changing lane to the left,2,17:29:00,Wednesday
Under 18,Male,Elementary school,Employee,5-10yr,other,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,No priority to pedestrian,2,8:49:00,Wednesday
18-30,Male,Junior high school,Employee,1-2yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,Overtaking,2,8:49:00,Wednesday
Unknown,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,2,16:50:00,Saturday
Under 18,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,No priority to vehicle,2,16:50:00,Saturday
Unknown,Male,Junior high school,Employee,2-5yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,Not a Pedestrian,No priority to pedestrian,2,20:40:00,Sunday
18-30,Male,Junior high school,Employee,1-2yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2,20:40:00,Sunday
18-30,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,1,10:30:00,Monday
Unknown,Male,Junior high school,Employee,Below 1yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights unlit,Windy,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2,19:45:00,Tuesday
18-30,Male,Junior high school,Employee,5-10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2,9:00:00,Tuesday
Over 51,Male,Junior high school,Owner,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,2,9:00:00,Tuesday
18-30,Male,Unknown,Owner,5-10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Overturning,2,9:00:00,Tuesday
18-30,Male,Junior high school,Employee,5-10yr,Double carriageway (median),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,2,18:00:00,Sunday
Under 18,Male,High school,Employee,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,No distancing,2,18:00:00,Sunday
18-30,Male,Above high school,Employee,5-10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,Going straight,Not a Pedestrian,Driving carelessly,1,3:00:00,Sunday
18-30,Male,Junior high school,Employee,Above 10yr,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Overtaking,Not a Pedestrian,Changing lane to the left,1,3:00:00,Sunday
Over 51,Male,Junior high school,Employee,Below 1yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Windy,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle,2,12:05:00,Monday
31-50,Male,Elementary school,Employee,5-10yr,Double carriageway (median),Crossing,Asphalt roads,Daylight,Windy,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2,12:05:00,Monday
18-30,Male,Elementary school,Employee,2-5yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,1,12:14:00,Saturday
31-50,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,U-Turn,Not a Pedestrian,Moving Backward,1,12:14:00,Saturday
31-50,Male,Junior high school,Employee,1-2yr,Unknown,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Moving Backward,1,12:14:00,Saturday
Unknown,Female,Junior high school,Employee,2-5yr,Double carriageway (median),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,6:45:00,Tuesday
18-30,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,6:45:00,Tuesday
18-30,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,15:45:00,Friday
Over 51,Male,High school,Employee,Below 1yr,One way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Turnover,Not a Pedestrian,No priority to pedestrian,2,15:45:00,Friday
Over 51,Male,Junior high school,Employee,2-5yr,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,2,6:21:00,Friday
31-50,Male,High school,Employee,Above 10yr,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2,6:21:00,Friday
Under 18,Male,Junior high school,Employee,Above 10yr,other,Y Shape,Asphalt roads,Daylight,Raining,Collision with roadside objects,Moving Backward,Not a Pedestrian,Changing lane to the left,2,8:21:00,Tuesday
18-30,Male,High school,Employee,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,2,8:21:00,Tuesday
18-30,Male,Junior high school,Employee,Above 10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,Driving carelessly,2,8:21:00,Tuesday
Unknown,Female,Junior high school,Employee,1-2yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Unknown,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,13:30:00,Sunday
Unknown,Female,Junior high school,Employee,2-5yr,Double carriageway (median),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Other,2,9:30:00,Thursday
31-50,Male,Elementary school,Employee,2-5yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Rollover,Going straight,Not a Pedestrian,Changing lane to the right,2,9:30:00,Thursday
18-30,Male,Elementary school,Other,5-10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,1,16:20:00,Monday
18-30,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,U-Turn,Not a Pedestrian,No distancing,1,16:20:00,Monday
31-50,Male,High school,Owner,5-10yr,Double carriageway (median),No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,No distancing,1,16:20:00,Monday
31-50,Male,Junior high school,Employee,Above 10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Overturning,1,17:30:00,Thursday
31-50,Male,Junior high school,Employee,Below 1yr,other,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving at high speed,2,6:26:00,Friday
Over 51,Male,Junior high school,Other,Below 1yr,Two-way (divided with broken lines road marking),No junction,Earth roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle,2,6:26:00,Friday
31-50,Male,Junior high school,Employee,Above 10yr,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,No priority to pedestrian,2,6:26:00,Friday
18-30,Male,High school,Owner,5-10yr,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,No priority to vehicle,2,6:26:00,Friday
31-50,Male,Elementary school,Owner,5-10yr,Double carriageway (median),No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Stopping,Not a Pedestrian,Other,2,6:26:00,Friday
Unknown,Female,Junior high school,Employee,2-5yr,Undivided Two way,No junction,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Turnover,Not a Pedestrian,Other,2,8:45:00,Thursday
31-50,Male,Junior high school,Employee,2-5yr,Undivided Two way,No junction,Asphalt roads,Daylight,Raining,Collision with roadside objects,Getting off,Not a Pedestrian,Moving Backward,2,8:45:00,Thursday
31-50,Male,Above high school,Employee,5-10yr,other,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Moving Backward,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,No distancing,2,20:05:00,Saturday
31-50,Male,Junior high school,Owner,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,Moving Backward,2,20:05:00,Saturday
18-30,Male,Unknown,Unknown,Unknown,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle,2,10:00:00,Saturday
18-30,Male,Junior high school,Employee,2-5yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Turnover,Not a Pedestrian,Driving carelessly,1,20:10:00,Saturday
18-30,Male,Junior high school,Employee,5-10yr,Double carriageway (median),No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,No distancing,1,20:10:00,Saturday
18-30,Male,Junior high school,Employee,2-5yr,Double carriageway (median),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Other,1,20:10:00,Saturday
18-30,Male,Elementary school,Employee,1-2yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,U-Turn,Not a Pedestrian,Changing lane to the right,1,20:10:00,Saturday
18-30,Male,High school,Employee,Unknown,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,1,20:10:00,Saturday
Unknown,Male,Junior high school,Owner,1-2yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Rollover,Going straight,Not a Pedestrian,Driving carelessly,1,20:10:00,Saturday
Unknown,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,U-Turn,Not a Pedestrian,No distancing,1,20:10:00,Saturday
18-30,Male,Junior high school,Employee,1-2yr,Double carriageway (median),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Stopping,Not a Pedestrian,No priority to vehicle,2,11:58:00,Saturday
Over 51,Male,Elementary school,Employee,Above 10yr,Double carriageway (median),Y Shape,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,Not a Pedestrian,Changing lane to the right,2,11:58:00,Saturday
18-30,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,No priority to pedestrian,2,16:00:00,Monday
Under 18,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Getting off,Not a Pedestrian,No priority to vehicle,2,16:00:00,Monday
31-50,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),T Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,2,16:35:00,Monday
Unknown,Male,Junior high school,Employee,2-5yr,other,T Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Turnover,2,16:35:00,Monday
Under 18,Male,Elementary school,Employee,2-5yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,Turnover,Not a Pedestrian,Driving to the left,2,19:15:00,Sunday
31-50,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,Driving carelessly,2,19:15:00,Sunday
31-50,Male,Elementary school,Employee,5-10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving to the left,2,19:15:00,Sunday
18-30,Male,Elementary school,Employee,2-5yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,Driving carelessly,2,8:28:00,Tuesday
Under 18,Male,Junior high school,Employee,Above 10yr,Unknown,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to pedestrian,2,8:28:00,Tuesday
Unknown,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Unknown,Collision with roadside objects,Unknown,Not a Pedestrian,Driving carelessly,2,21:05:00,Saturday
31-50,Male,High school,Employee,Above 10yr,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Unknown,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2,21:05:00,Saturday
31-50,Male,Junior high school,Employee,5-10yr,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Unknown,Collision with roadside objects,Unknown,Not a Pedestrian,Moving Backward,2,21:05:00,Saturday
Under 18,Male,Junior high school,Owner,2-5yr,One way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,1,12:40:00,Friday
Over 51,Male,Elementary school,Employee,1-2yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Rollover,Unknown,Not a Pedestrian,Changing lane to the right,1,12:40:00,Friday
31-50,Male,Junior high school,Employee,2-5yr,One way,O Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,2,13:02:00,Wednesday
Under 18,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),O Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,2,13:02:00,Wednesday
Under 18,Male,Unknown,Unknown,Unknown,Double carriageway (median),O Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,2,13:02:00,Wednesday
Unknown,Male,Elementary school,Owner,5-10yr,Unknown,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2,11:00:00,Saturday
18-30,Male,High school,Other,Above 10yr,Unknown,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2,11:00:00,Saturday
Unknown,Male,Junior high school,Employee,Above 10yr,other,No junction,Asphalt roads,Daylight,Normal,Collision with pedestrians,Other,Not a Pedestrian,Driving carelessly,2,18:55:00,Friday
31-50,Male,Junior high school,Employee,1-2yr,Unknown,No junction,Asphalt roads,Daylight,Normal,Rollover,Other,Not a Pedestrian,Overtaking,2,18:55:00,Friday
18-30,Male,High school,Owner,Unknown,One way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2,18:10:00,Monday
Under 18,Male,Junior high school,Employee,2-5yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Rollover,Going straight,Not a Pedestrian,No distancing,2,18:10:00,Monday
Under 18,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Getting off,Not a Pedestrian,Other,2,18:10:00,Monday
31-50,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2,18:10:00,Monday
Under 18,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2,7:47:00,Friday
Over 51,Male,Elementary school,Employee,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Fall from vehicles,Going straight,Not a Pedestrian,Overtaking,2,7:47:00,Friday
Unknown,Female,Junior high school,Employee,5-10yr,other,T Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Other,2,17:28:00,Monday
18-30,Male,Above high school,Employee,1-2yr,other,T Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Driving to the left,2,17:28:00,Monday
31-50,Male,Elementary school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Getting off,Not a Pedestrian,Overtaking,2,16:06:00,Saturday
31-50,Male,Elementary school,Employee,5-10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle,2,16:06:00,Saturday
31-50,Male,Elementary school,Employee,2-5yr,other,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Moving Backward,2,14:43:00,Monday
Unknown,Male,Elementary school,Employee,2-5yr,other,No junction,Asphalt roads,Daylight,Raining,Collision with pedestrians,Other,Not a Pedestrian,Other,2,17:00:00,Monday
18-30,Male,Junior high school,Employee,5-10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle,2,17:00:00,Monday
Unknown,Male,Junior high school,Employee,1-2yr,other,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to pedestrian,2,8:30:00,Wednesday
18-30,Male,Junior high school,Employee,5-10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2,8:30:00,Wednesday
Over 51,Male,Junior high school,Employee,5-10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Rollover,Going straight,Not a Pedestrian,Changing lane to the right,2,8:02:00,Friday
Over 51,Male,Above high school,Employee,5-10yr,Double carriageway (median),No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Changing lane to the right,2,12:30:00,Friday
18-30,Male,Junior high school,Employee,Above 10yr,other,Y Shape,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Reversing,Not a Pedestrian,Driving to the left,1,10:30:00,Sunday
31-50,Male,Elementary school,Employee,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Other,Not a Pedestrian,Changing lane to the left,1,10:30:00,Sunday
18-30,Male,Junior high school,Employee,5-10yr,other,No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Moving Backward,2,8:36:00,Friday
Under 18,Male,Unknown,Unknown,Unknown,other,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving at high speed,2,8:36:00,Friday
31-50,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Moving Backward,2,8:36:00,Friday
18-30,Male,Junior high school,Employee,Unknown,other,No junction,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,1,17:55:00,Thursday
31-50,Male,Junior high school,Employee,Unknown,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Rollover,Going straight,Not a Pedestrian,Other,2,4:40:00,Monday
31-50,Male,Junior high school,Employee,1-2yr,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Rollover,Going straight,Not a Pedestrian,No priority to vehicle,2,4:40:00,Monday
18-30,Male,Above high school,Owner,5-10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Raining,Collision with pedestrians,Going straight,Not a Pedestrian,Changing lane to the right,2,8:41:00,Friday
Unknown,Male,Junior high school,Employee,2-5yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Other,2,6:20:00,Friday
31-50,Male,Junior high school,Owner,5-10yr,Double carriageway (median),Y Shape,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,6:20:00,Friday
18-30,Male,High school,Employee,2-5yr,other,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,Driving carelessly,2,13:55:00,Sunday
31-50,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Collision with pedestrians,Moving Backward,Not a Pedestrian,No distancing,2,13:55:00,Sunday
18-30,Male,Junior high school,Employee,Below 1yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Collision with pedestrians,Turnover,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Moving Backward,2,11:30:00,Tuesday
Unknown,Male,Junior high school,Employee,Below 1yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,No distancing,2,11:30:00,Tuesday
Unknown,Male,Unknown,Owner,Unknown,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,Moving Backward,2,15:45:00,Wednesday
18-30,Male,Junior high school,Employee,2-5yr,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to pedestrian,2,23:49:00,Saturday
Unknown,Male,Unknown,Unknown,Unknown,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Unknown or other,Changing lane to the left,2,17:00:00,Saturday
18-30,Male,Elementary school,Employee,No Licence,other,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,No distancing,2,17:00:00,Saturday
18-30,Male,Junior high school,Employee,Above 10yr,Unknown,Crossing,Asphalt roads,Daylight,Normal,Collision with roadside objects,Other,Not a Pedestrian,Other,2,17:00:00,Saturday
Unknown,Male,Junior high school,Owner,Above 10yr,Double carriageway (median),Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,17:00:00,Saturday
Unknown,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Reversing,Not a Pedestrian,No priority to pedestrian,2,14:00:00,Saturday
31-50,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,Other,Not a Pedestrian,Moving Backward,2,15:46:00,Saturday
Over 51,Male,Junior high school,Owner,5-10yr,Two-way (divided with broken lines road marking),Other,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Turnover,Not a Pedestrian,No priority to pedestrian,2,19:40:00,Friday
