Age_band_of_driver,sexe,Educational_level,Vehicle_driver_relation,Driving_experience,Lanes_or_Medians,Types_of_Junction,Road_surface_type,Light_conditions,Weather_conditions,Type_of_collision,Vehicle_movement,Pedestrian_movement,Cause_of_accident,Accident_severity,Day_of_week,hour
31-50,M,Writing & reading,Owner,5-10yr,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Getting off,Not a Pedestrian,Changing lane to the left,1,Tuesday,21
Unknown,M,Above high school,Employee,Above 10yr,Double carriageway (median),Y Shape,Earth roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,Wednesday,18
Under 18,M,High school,Employee,Below 1yr,One way,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,2,Wednesday,18
31-50,M,Junior high school,Employee,1-2yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,2,Tuesday,7
Unknown,F,Junior high school,Employee,Above 10yr,Undivided Two way,No junction,Other,Daylight,Normal,Vehicle with vehicle collision,Turnover,Not a Pedestrian,Changing lane to the left,2,Tuesday,7
51,M,Junior high school,Owner,Above 10yr,Two-way (divided with broken lines road marking),T Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Reversing,Not a Pedestrian,No distancing,2,Thursday,16
18-30,M,Junior high school,Employee,Above 10yr,Undivided Two way,T Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,Changing lane to the right,2,Thursday,16
18-30,M,Junior high school,Employee,No Licence,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Unknown or other,No distancing,1,Wednesday,15
51,M,Junior high school,Employee,1-2yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Crossing from driver's nearside,Driving to the left,1,Wednesday,15
51,M,Illiterate,Owner,1-2yr,One way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,1,Wednesday,15
51,M,Junior high school,Owner,Below 1yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Other,Going straight,Not a Pedestrian,Overtaking,2,Thursday,15
51,M,Junior high school,Owner,1-2yr,Double carriageway (median),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving under the influence of drugs,2,Thursday,15
31-50,M,Junior high school,Owner,2-5yr,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,No priority to pedestrian,1,Saturday,22
18-30,M,Unknown,Owner,5-10yr,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Moving Backward,1,Saturday,22
18-30,M,Unknown,Owner,Above 10yr,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,1,Saturday,22
31-50,M,Junior high school,Owner,2-5yr,other,Other,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,2,Friday,8
31-50,M,Elementary school,Owner,Above 10yr,Undivided Two way,Other,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2,Friday,8
31-50,M,Writing & reading,Owner,5-10yr,Undivided Two way,Other,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,Driving under the influence of drugs,2,Friday,8
18-30,M,Unknown,Owner,Unknown,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,No priority to vehicle,0,Sunday,11
18-30,M,Junior high school,Owner,5-10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,No priority to vehicle,0,Sunday,11
18-30,M,Junior high school,Owner,Below 1yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,Moving Backward,Not a Pedestrian,Changing lane to the left,0,Sunday,11
18-30,M,Junior high school,Owner,2-5yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,0,Sunday,11
18-30,M,Elementary school,Employee,2-5yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,Moving Backward,Unknown or other,Changing lane to the right,0,Sunday,11
18-30,M,Junior high school,Employee,2-5yr,One way,No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,Unknown,Not a Pedestrian,Changing lane to the left,0,Sunday,11
Under 18,M,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,2,Monday,20
Under 18,M,Junior high school,Employee,5-10yr,Undivided Two way,Y Shape,Gravel roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Getting off the vehicle improperly,2,Monday,20
31-50,M,Junior high school,Employee,5-10yr,Unknown,Crossing,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Overtaking,1,Wednesday,9
18-30,M,Junior high school,Employee,Above 10yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,1,Wednesday,9
51,M,Elementary school,Employee,5-10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,Driving under the influence of drugs,2,Wednesday,12
51,M,Junior high school,Employee,5-10yr,other,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,2,Wednesday,12
Unknown,M,Junior high school,Employee,Above 10yr,One way,No junction,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,Moving Backward,2,Monday,14
31-50,M,Elementary school,Owner,Unknown,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,No distancing,2,Monday,14
Unknown,M,Junior high school,Owner,5-10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,No priority to vehicle,2,Tuesday,9
31-50,M,Junior high school,Employee,5-10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,Not a Pedestrian,Overturning,2,Tuesday,9
18-30,M,Junior high school,Employee,Below 1yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,2,Thursday,14
18-30,M,Unknown,Unknown,Unknown,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Raining,Collision with roadside objects,Going straight,Not a Pedestrian,No distancing,2,Thursday,14
18-30,M,Junior high school,Employee,5-10yr,One way,Other,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Unknown or other,Moving Backward,2,Sunday,17
18-30,M,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Other,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,No priority to vehicle,2,Sunday,17
18-30,M,Junior high school,Employee,Above 10yr,One way,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle,2,Saturday,20
31-50,M,High school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Other,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Unknown or other,No distancing,2,Wednesday,17
31-50,M,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Other,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,No distancing,2,Wednesday,17
Unknown,M,Junior high school,Employee,Above 10yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Reversing,Not a Pedestrian,Overtaking,1,Monday,15
18-30,M,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,Driving under the influence of drugs,1,Monday,15
31-50,M,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Crossing,Gravel roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,1,Monday,15
Unknown,M,Junior high school,Employee,5-10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,2,Wednesday,8
51,M,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),No junction,Gravel roads,Darkness - lights lit,Other,Collision with roadside objects,Reversing,Not a Pedestrian,Driving carelessly,1,Saturday,16
Under 18,M,Junior high school,Employee,Below 1yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Moving Backward,2,Monday,21
Under 18,M,Junior high school,Employee,Below 1yr,other,No junction,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Reversing,Not a Pedestrian,Moving Backward,2,Monday,21
Unknown,M,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,Changing lane to the right,2,Monday,21
31-50,M,Elementary school,Employee,Below 1yr,other,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown,Not a Pedestrian,No priority to vehicle,2,Tuesday,9
Unknown,M,Junior high school,Employee,Below 1yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Unknown,Going straight,Not a Pedestrian,Driving at high speed,2,Tuesday,9
31-50,M,Junior high school,Employee,Unknown,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,Not a Pedestrian,Driving under the influence of drugs,2,Saturday,20
31-50,M,Unknown,Employee,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2,Saturday,20
Unknown,F,Writing & reading,Employee,Below 1yr,other,Crossing,Asphalt roads,Darkness - lights lit,Cloudy,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,2,Tuesday,18
Under 18,M,Junior high school,Employee,Below 1yr,other,Crossing,Asphalt roads,Darkness - lights lit,Cloudy,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,Tuesday,18
31-50,M,Junior high school,Employee,1-2yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,Not a Pedestrian,Changing lane to the left,2,Friday,13
18-30,M,Elementary school,Employee,Above 10yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,No distancing,2,Friday,13
31-50,M,Elementary school,Employee,Above 10yr,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Unknown,Going straight,Not a Pedestrian,No distancing,2,Tuesday,17
18-30,M,Elementary school,Employee,Below 1yr,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Getting off the vehicle improperly,2,Tuesday,17
31-50,M,High school,Employee,2-5yr,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Unknown,Going straight,Not a Pedestrian,Overtaking,2,Tuesday,17
31-50,M,Junior high school,Employee,2-5yr,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Unknown,Going straight,Not a Pedestrian,Driving carelessly,2,Tuesday,17
51,M,Above high school,Employee,Above 10yr,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Normal,Unknown,Going straight,Not a Pedestrian,Driving under the influence of drugs,0,Tuesday,17
18-30,M,Junior high school,Employee,2-5yr,Unknown,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Unknown or other,Moving Backward,0,Tuesday,17
Under 18,M,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),Other,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Overturning,2,Wednesday,7
18-30,M,High school,Employee,1-2yr,Undivided Two way,Other,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Driving under the influence of drugs,2,Wednesday,7
18-30,M,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,Moving Backward,Not a Pedestrian,Changing lane to the right,1,Wednesday,12
31-50,M,Junior high school,Employee,Below 1yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Other,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,1,Wednesday,17
Unknown,M,Junior high school,Employee,Below 1yr,One way,Y Shape,Asphalt roads,Daylight,Other,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,1,Wednesday,17
31-50,M,Elementary school,Employee,Unknown,Undivided Two way,Other,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,1,Sunday,10
18-30,M,Junior high school,Employee,Below 1yr,Undivided Two way,Other,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown,Not a Pedestrian,No priority to vehicle,1,Sunday,10
Unknown,F,Junior high school,Employee,1-2yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Other,Vehicle with vehicle collision,Turnover,Not a Pedestrian,Moving Backward,2,Monday,7
18-30,M,Elementary school,Employee,2-5yr,One way,No junction,Asphalt roads,Daylight,Other,Rollover,Going straight,Not a Pedestrian,Moving Backward,2,Monday,7
Unknown,F,High school,Employee,1-2yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Getting off the vehicle improperly,2,Wednesday,8
18-30,M,Junior high school,Employee,5-10yr,One way,Crossing,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Changing lane to the left,2,Thursday,7
18-30,M,Junior high school,Employee,Below 1yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,Not a Pedestrian,Changing lane to the left,2,Wednesday,15
31-50,M,High school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle,2,Wednesday,15
31-50,M,Elementary school,Owner,5-10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Crossing from driver's nearside,Changing lane to the right,2,Wednesday,15
31-50,M,Elementary school,Employee,Below 1yr,Two-way (divided with solid lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2,Wednesday,15
Unknown,M,Junior high school,Employee,5-10yr,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,2,Tuesday,17
18-30,M,Elementary school,Owner,5-10yr,One way,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,2,Tuesday,17
31-50,M,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Turnover,Not a Pedestrian,Changing lane to the right,1,Sunday,17
18-30,M,Junior high school,Employee,Above 10yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Unknown,Not a Pedestrian,Driving under the influence of drugs,2,Saturday,11
18-30,M,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Raining,Collision with roadside objects,Reversing,Not a Pedestrian,Driving carelessly,2,Saturday,11
31-50,M,High school,Employee,1-2yr,One way,Crossing,Asphalt roads,Daylight,Raining,Rollover,Other,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,No distancing,2,Saturday,11
Unknown,M,Junior high school,Employee,Above 10yr,Undivided Two way,T Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle,2,Tuesday,18
Under 18,M,Elementary school,Owner,2-5yr,One way,T Shape,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,Going straight,Not a Pedestrian,No priority to vehicle,2,Tuesday,18
Under 18,M,Junior high school,Employee,5-10yr,Undivided Two way,T Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Turnover,Not a Pedestrian,No priority to vehicle,2,Tuesday,18
Under 18,M,Junior high school,Employee,Below 1yr,Undivided Two way,T Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,Changing lane to the left,2,Tuesday,18
Under 18,M,Junior high school,Employee,5-10yr,Undivided Two way,T Shape,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,Going straight,Not a Pedestrian,Moving Backward,2,Tuesday,18
Under 18,M,High school,Employee,Above 10yr,One way,T Shape,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,Going straight,Not a Pedestrian,Driving carelessly,2,Tuesday,18
Unknown,M,Junior high school,Employee,5-10yr,other,Other,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,Driving under the influence of drugs,2,Friday,15
18-30,M,Elementary school,Employee,1-2yr,Two-way (divided with broken lines road marking),Other,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2,Friday,15
Unknown,M,Junior high school,Employee,Unknown,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Turnover,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,No priority to vehicle,2,Thursday,18
31-50,M,Above high school,Employee,1-2yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2,Thursday,18
31-50,M,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Turnover,Not a Pedestrian,Driving to the left,2,Thursday,18
Unknown,M,Junior high school,Employee,1-2yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Crossing from offside - masked by  parked or statioNot a Pedestrianry vehicle,Moving Backward,1,Wednesday,13
Under 18,M,Junior high school,Employee,5-10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,No priority to vehicle,1,Wednesday,13
Under 18,M,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown,Not a Pedestrian,No distancing,1,Wednesday,13
Unknown,M,Unknown,Unknown,Unknown,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,2,Tuesday,18
18-30,M,Junior high school,Employee,2-5yr,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,2,Tuesday,18
31-50,M,Junior high school,Employee,2-5yr,One way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Reversing,Not a Pedestrian,No priority to vehicle,2,Friday,15
18-30,M,Junior high school,Employee,Above 10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Reversing,Not a Pedestrian,No priority to vehicle,2,Friday,15
Unknown,M,Junior high school,Employee,1-2yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Other,Vehicle with vehicle collision,Reversing,Not a Pedestrian,No distancing,2,Tuesday,14
18-30,M,Above high school,Owner,1-2yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Other,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving to the left,2,Tuesday,14
Unknown,M,Above high school,Employee,No Licence,Undivided Two way,Crossing,Asphalt roads,Darkness - lights lit,Snow,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,1,Monday,22
31-50,M,Junior high school,Employee,1-2yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Snow,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,1,Monday,22
31-50,M,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Snow,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,1,Monday,22
Unknown,F,Junior high school,Employee,Above 10yr,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,Driving carelessly,2,Tuesday,17
31-50,M,Junior high school,Employee,Above 10yr,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,2,Tuesday,17
Under 18,M,Junior high school,Owner,5-10yr,other,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,Driving carelessly,2,Wednesday,9
31-50,M,Elementary school,Employee,2-5yr,One way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,Driving carelessly,2,Wednesday,9
18-30,M,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Other,Collision with roadside objects,Going straight,Not a Pedestrian,Driving under the influence of drugs,2,Sunday,3
18-30,M,Junior high school,Employee,Below 1yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Other,Vehicle with vehicle collision,Other,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Driving carelessly,2,Sunday,3
18-30,M,Junior high school,Employee,2-5yr,Undivided Two way,No junction,Asphalt roads,Daylight,Windy,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,1,Sunday,15
18-30,M,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Windy,Vehicle with vehicle collision,Other,Not a Pedestrian,Driving carelessly,1,Sunday,15
18-30,M,Elementary school,Employee,5-10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Windy,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving to the left,1,Sunday,15
Unknown,M,Junior high school,Employee,Above 10yr,One way,No junction,Asphalt roads,Daylight,Windy,Collision with pedestrians,Reversing,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Overtaking,1,Sunday,15
18-30,M,Unknown,Unknown,Unknown,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown,Not a Pedestrian,No distancing,1,Wednesday,8
Under 18,M,Junior high school,Employee,2-5yr,One way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Driving carelessly,1,Wednesday,8
Unknown,M,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle,2,Wednesday,13
31-50,M,Above high school,Employee,2-5yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle,2,Wednesday,13
Unknown,M,Unknown,Unknown,Unknown,Undivided Two way,Y Shape,Asphalt roads,Daylight,Other,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle,2,Friday,13
Unknown,M,Unknown,Employee,1-2yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle,2,Wednesday,17
Unknown,M,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,Monday,8
18-30,M,Junior high school,Employee,Above 10yr,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Cloudy,Vehicle with vehicle collision,Other,Not a Pedestrian,Moving Backward,2,Saturday,1
18-30,M,Junior high school,Employee,Below 1yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Cloudy,Collision with pedestrians,Going straight,Not a Pedestrian,No distancing,2,Saturday,1
Unknown,M,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Cloudy,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,2,Saturday,1
18-30,M,Junior high school,Employee,Below 1yr,other,No junction,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,2,Saturday,5
Unknown,M,High school,Employee,5-10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to pedestrian,2,Wednesday,8
51,M,Above high school,Employee,1-2yr,other,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Reversing,Not a Pedestrian,Moving Backward,2,Tuesday,17
18-30,M,Junior high school,Employee,Below 1yr,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Changing lane to the left,2,Tuesday,17
Unknown,M,Unknown,Unknown,Unknown,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,Saturday,14
31-50,M,High school,Employee,Below 1yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,No priority to vehicle,2,Saturday,14
31-50,M,High school,Employee,Below 1yr,other,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2,Saturday,14
Unknown,M,Unknown,Unknown,Unknown,other,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,Saturday,14
31-50,M,High school,Employee,2-5yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,Tuesday,7
